Product Category,Column Name Raw,Column Name,Column Top Values,Column Unit,Column Min,Column Max,Column Definition,Approved
Notebooks,Processor cache.10041,Processor cache,"8.0', '6.0', '12.0', '3.0', '2.0'",MB,1,12,"The processor cache is a crucial component of a notebook's performance. It is a small, fast memory located inside the processor that stores frequently used data or instructions. The size of the processor cache can vary, with larger caches providing better performance. This column represents the size of the processor cache in megabytes (MB). Valid values range from 1.0 MB to 12.0 MB, inclusive.",True
Notebooks,Numeric keypad.1006,Numeric keypad,False',,,,A column that indicates whether the notebook has a numeric keypad. The value in this column will be either true or false.,FALSE
Notebooks,Processor manufacturer.1013,Processor manufacturer,"Intel', 'AMD', 'Qualcomm'",,,,"The manufacturer of the processor in the notebook. Examples of processor manufacturers include Intel, AMD, MediaTek, Qualcomm, and NVIDIA.",FALSE
Notebooks,Idle States.10197,Idle States,False',,,,A string that indicates whether the notebook is in an idle state. The value can be either True or False.,FALSE
Notebooks,Intel Trusted Execution Technology.10200,Intel Trusted Execution Technology,False',,,,"Intel Trusted Execution Technology is a security technology that is built into some Intel processors. It helps to protect your system from malware and other threats. Some of the processors that have this technology are Core i5, Core i7, and Core i9.",TRUE
Notebooks,Built-in microphone.1025,Built-in microphone,False',,,,This column represents the presence of a built-in microphone on the laptop. Values will be True or False.,TRUE
Notebooks,CPU configuration (max).10275,CPU configuration (max),1.0',,1,1,"The CPU configuration of the notebook, which represents the maximum amount of processors that can be used in the product. The value is a positive integer.",TRUE
Notebooks,Intel VT-x with Extended Page Tables (EPT).10282,Intel VT-x with Extended Page Tables (EPT),False',,,,Intel VT-x with Extended Page Tables (EPT) is a technology that allows the processor to use extended page tables to perform address translation and memory protection. It is a feature of Intel processors that allows them to support virtual machines and other environments that require multiple levels of address translation. The technology is designed to improve the performance of virtual machines and to reduce the overhead associated with address translation.,TRUE
Notebooks,Embedded options available.10283,Embedded options available,False',,,,"The availability of embedded options in the notebook. Options may include a touch screen, a fingerprint sensor, or a backlit keyboard. If the notebook has any embedded options, they will be listed here. If there are no embedded options, the value will be False.",TRUE
Notebooks,Keyboard backlit.11149,Keyboard backlit,False',,,,"Denotes whether the keyboard has backlighting to facilitate typing in low-light environments or not. This is a boolean value, where 'True' indicates that the keyboard is backlit and 'False' indicates that it is not.",TRUE
Notebooks,Optical drive type.1120,Optical drive type,"N', 'DVDÂ±RW', 'DVDÂ±R'",,,,"The type of optical drive included in the notebook. Examples include: N, DVD Super Multi, DVD¬±RW, DVD Super Multi DL, DVD-RW.",TRUE
Notebooks,Memory layout (slots x size).11380,Memory layout (slots x size),"1 x 4', '1 x 8', '2 x 8', '2 x 4'",,,,"The memory layout of the notebook. Describes the number of slots and the size of each slot. Example: 1 x 4, 1 x 8, 2 x 8, 2 x 4, 1 x 16",TRUE
Notebooks,Internal memory.11381,Internal memory,"8.0', '16.0', '4.0', '32.0', '2.0'",GB,2,32,"The internal memory of the notebook, measured in gigabytes (GB). This is the memory available for the operating system and applications to use. The minimum internal memory is 0.25 GB, and the maximum internal memory is 128 GB.",TRUE
Notebooks,Native aspect ratio.11417,Native aspect ratio,"3:02', '16:09', '16:10'",,,,"The aspect ratio of the native display of the notebook. The format of this ratio is a string of two integers separated by a colon. For example, 16:9 is a common aspect ratio.",TRUE
Notebooks,HD type.11424,HD type,"HD', 'Full HD', 'HD+', 'Quad HD', 'WQXGA'",,,,"The type of high definition display that the notebook has. Examples include Full HD, HD, HD+, Not supported, and 4K Ultra HD.",TRUE
Notebooks,Storage media.11441,Storage media,"SSD', 'HDD', 'eMMC', 'Hybrid-HDD', 'Flash'",,,,"The type of storage media used in the notebook. Can be SSD, HDD, HDD+SSD, Hybrid-HDD, or eMMC. Note that a Hybrid-HDD is a hard drive that contains a SSD cache for faster boot times and improved performance.",TRUE
Notebooks,Bluetooth version.1208,Bluetooth version,"5.0', '4.1', '5.1', '4.0', '5.2'",,4,5.2,"The Bluetooth version of the notebook. The value should be a string that represents the version of Bluetooth that is supported by the notebook. Examples include '4.0', '4.1', '5.0', '4.2', and '5.1'.",TRUE
Notebooks,Number of battery cells.1226,Number of battery cells,"4.0', '6.0', '3.0', '2.0'",,2,6,The number of battery cells in the notebook. The cells are the individual batteries that power the notebook. The value is always an integer.,TRUE
Notebooks,Front camera.12436,Front camera,False',,,,A camera that is located on the front of the notebook. The camera is typically used for video chatting and taking pictures. The camera can be either built-in or external.,TRUE
Notebooks,Ethernet LAN.1347,Ethernet LAN,False',,,,"Denotes whether the notebook has an Ethernet LAN connection. If the value is 'True', the notebook has an Ethernet LAN connection. If the value is 'False', the notebook does not have an Ethernet LAN connection.",TRUE
Notebooks,Product type.14052,Product type,"Notebook', 'Hybrid (2-in-1)', 'Chromebook'",,,,"Type of notebook. Examples include 'Notebook', 'Hybrid (2-in-1)', 'Mobile workstation', 'Ultrabook', 'Chromebook'.",TRUE
Notebooks,Height.1464,Height,"14.5', '15.69', '22.9', '14.7', '24.9'",mm,11.176,202.3,"Height of the notebook, measured in millimeters. This measurement is taken from the base of the notebook to the highest point of the notebook. Notebooks with a height of 11.176 mm or less are considered to be ultra-portable, whereas notebooks with a height over 21.344 mm are considered to be desktop replacement laptops.",TRUE
Notebooks,Antenna type.1494,Antenna type,"2x2', '1x1'",,,,"The antenna type of the notebook. Examples include 2x2, 1x1, and 1x2. The format of the entries is a string.",TRUE
Notebooks,Display resolution.1585,Display resolution,"2256 x 1504', '1536 x 1024', '1366 x 768', '2496 x 1664', '1920 x 1080'",pixels,,,"The display resolution is the number of pixels on a notebook's screen. The display resolution is given as the width and height of the screen, separated by an ""x"". For example, a display resolution of 1920 x 1080 means the screen is 1920 pixels wide and 1080 pixels tall.",TRUE
Notebooks,Width.1649,Width,"278.18', '308.0', '380.0', '339.5', '305.0'",mm,224.8,418,"The width of the notebook. This is measured in millimeters and can be any positive number. The minimum width is 258 mm, and the maximum width is 4007 mm.",TRUE
Notebooks,Depth.1650,Depth,"223.0', '205.67', '262.0', '224.0', '292.6'",mm,16.7,323.9,"Depth of the notebook, measured in millimeters. This measurement is taken from the base of the notebook to the furthest point of the notebook. Notebooks with a depth of 11.176 mm or less are considered to be ultra-portable, whereas notebooks with a height over 21.344 mm are considered to be desktop replacement laptops.",TRUE
Notebooks,Speaker power.1660,Speaker power,"1.5', '2.0', '4.0', '5.0', '1.2'",W,1.2,10,"The power rating of the notebook's speaker in Watts. The minimum value is 0.5 W, and the maximum value is 22.0 W.",TRUE
Notebooks,Intel Stable Image Platform Program (SIPP).16685,Intel Stable Image Platform Program (SIPP),False',,,,Intel Stable Image Platform Program (SIPP) is a program that helps to reduce the cost of ownership of a notebook. The program provides a stable image of the operating system and drivers that are preloaded on the notebook. This helps to reduce the time and effort required to install and configure the notebook. The Intel Stable Image Platform Program (SIPP) is available on select notebooks.,TRUE
Notebooks,Product colour.1766,Product colour,"Black', 'Platinum', 'Blue', 'Sand', 'Silver'",,,,"The colour of the product. This column contains text, and only contains valid colours.",TRUE
Notebooks,Discrete graphics adapter memory.18403,Discrete graphics adapter memory,"2.0', '4.0'",GB,2,4,"The discrete graphics adapter memory of a notebook, expressed in GB. Ranges from a minimum of 2.0 GB to a maximum of 4.0 GB.",TRUE
Notebooks,Number of built-in speakers.1851,Number of built-in speakers,"2.0', '1.0', '4.0'",,1,4,"The number of speakers that are built into the laptop. It can range from 1.0 up to 4.0, with 1.0 being the minimum and 4.0 being the maximum value.",TRUE
Notebooks,Intel Virtualization Technology for Directed I/O (VT-d).18653,Intel Virtualization Technology for Directed I/O (VT-d),False',,,,A boolean value that describes whether the Intel Virtualization Technology for Directed I/O is present in the laptop. It is a technology that allows the CPU to provide I/O virtualization.,TRUE
Notebooks,Intel Software Guard Extensions (Intel SGX).21556,Intel Software Guard Extensions (Intel SGX),False',,,,"A notebook has Intel Software Guard Extensions (Intel SGX) if it has a value of ""True"" in this column, and does not have Intel Software Guard Extensions (Intel SGX) if the value is ""False"".",TRUE
Notebooks,Configurable TDP-down.21557,Configurable TDP-down,"12.0', '13.0', '7.5', '10.0', '28.0'",W,7.5,28,The minimum and maximum configurable TDP-down for a particular laptop mode.,TRUE
Notebooks,Processor cache type.21716,Processor cache type,"Smart Cache', 'L3', 'L2', 'L2 & L3'",,,,"The type of cache used by the processor. Examples include `Smart Cache`, `L3`, `L2`, and `L2 & L3`.",TRUE
Notebooks,Configurable TDP-down frequency.21744,Configurable TDP-down frequency,"0.7', '1.2', '0.8', '1.1', '0.9'",GHz,0.7,2.6,"The Configurable TDP-down frequency is the minimum frequency that the processor can run at when the TDP is limited. This allows the processor to save power and reduce heat generation. The frequency is measured in GHz. The minimum value is 0.4 GHz, and the maximum value is 800.0 GHz.",TRUE
Notebooks,Configurable TDP-up frequency.21746,Configurable TDP-up frequency,"1.2', '3.0', '2.6', '2.4', '2.7'",GHz,1.2,3.1,"The configurable TDP-up frequency of the notebook. This is the maximum frequency that the processor can be set to. The minimum value is 0.9 GHz, and the maximum value is 3.4 GHz.",TRUE
Notebooks,Configurable TDP-up.21748,Configurable TDP-up,"28.0', '25.0', '35.0'",W,25,35,"The Configurable TDP-up column contains the maximum TDP-up value that can be configured for a given notebook. TDP-up stands for Thermal Design Power up. The minimum value for this column is 6.0 W, and the maximum value is 65.0 W.",TRUE
Notebooks,Intel Virtualization Technology (VT-x).21759,Intel Virtualization Technology (VT-x),False',,,,"Intel Virtualization Technology (VT-x) is a hardware-based technology that allows multiple operating systems to run on a single physical server or host. This column indicates whether or not the notebook has this technology. If the value is 'True', it means that the notebook has Intel Virtualization Technology (VT-x). If the value is 'False', it means that the notebook does not have Intel Virtualization Technology (VT-x).",TRUE
Notebooks,Bluetooth.2183,Bluetooth,False',,,,A boolean value indicating whether the notebook has Bluetooth capability. This can be 'True' or 'False'.,TRUE
Notebooks,Processor family.2196,Processor family,"Intel Core i5', 'Intel Core i7', 'Intel Core i3', 'AMD Ryzen 7', 'AMD Ryzen 5'",,,,"The processor family is the brand and model of the processor in the notebook. Examples of processor families are Intel Core i5, Intel Core i7, Intel Core i3, Intel Celeron, and Intel Pentium.",TRUE
Notebooks,USB 3.2 Gen 1 (3.1 Gen 1) Type-A ports quantity.22701,USB 3.2 Gen 1 (3.1 Gen 1) Type-A ports quantity,"1.0', '2.0'",,1,2,The number of USB 3.2 Gen 1 (3.1 Gen 1) Type-A ports on the notebook. Min: 1. Max: 22. Format: Whole number.,TRUE
Notebooks,Mobile network connection.24557,Mobile network connection,False',,,,"Denotes whether the notebook has a built-in mobile network connection. If the notebook has a mobile network connection, this value will be True. If the notebook does not have a mobile network connection, this value will be False.",TRUE
Notebooks,Top Wi-Fi standard.24993,Top Wi-Fi standard,"Wi-Fi 6 (802.11ax)', 'Wi-Fi 5 (802.11ac)', 'Wi-Fi 6E (802.11ax)', 'Wi-Fi 4 (802.11n)'",,,,"The top wi-fi standard of the notebook. Examples include 'Wi-Fi 5 (802.11ac)', 'Wi-Fi 6 (802.11ax)', 'Wi-Fi 4 (802.11n)', 'Wi-Fi 6E (802.11ax)', and '802.11ad'.",TRUE
Notebooks,WLAN controller model.27443,WLAN controller model,Intel Wi-Fi 6 AX201',,,,"The WLAN controller model refers to the model of the wireless local area network controller in the notebook. The WLAN controller is responsible for managing the wireless network connection of the notebook. Examples of WLAN controller models include Intel Dual Band Wireless-AC 8265, Intel Wi-Fi 6 AX201, and Intel Wi-Fi 6E AX210.",TRUE
Notebooks,Processor ARK ID.27646,Processor ARK ID,"196603.0', '91157.0', '95443.0', '88193.0', '95598.0'",,65697,196603,The Processor ARK ID is the unique identifier for the processor of the notebook. The Processor ARK ID is a string that is a minimum of 1 characters and a maximum of 208664 characters in length.,TRUE
Notebooks,Discrete graphics adapter.27905,Discrete graphics adapter,False',,,,"True or False value that indicates the presence of a discrete graphics adapter in the notebook. A discrete graphics adapter is a separate graphics processing unit (GPU) that is typically used for high-end gaming and graphics performance. If the discrete graphics adapter is present, the value will be True, otherwise it will be False.",TRUE
Notebooks,Video capturing speed.2791,Video capturing speed,30.0',fps,30,30,"The video capturing speed of the laptop, measured in frames per second (fps).",TRUE
Notebooks,Memory clock speed.2900,Memory clock speed,"3733.0', '2133.0', '2400.0', '1600.0', '3200.0'",MHz,1600,4266,Memory clock speed refers to the rate at which the memory of the notebook operates. The memory clock speed is measured in MHz and is typically 1600.0 MHz or higher. The minimum value is 4.0 MHz and the maximum value is 42661.0 MHz.,TRUE
Notebooks,USB Type-C DisplayPort Alternate Mode.31406,USB Type-C DisplayPort Alternate Mode,False',,,,This column indicates whether the notebook product has a USB Type-C DisplayPort Alternate Mode port. The value is either True or False.,TRUE
